Relationship,Sentence_Id,Sentence
P,5,Jude meets his (Jude) cousin Sue Bridehead and tries not to fall in love with her (Sue)
P,6,"He (Jude) arranges for her (Sue) to work with Phillotson in order to keep her (Sue) in Christminster, but is disappointed when he (Jude) discovers that the two are engaged to be married"
P,7,"Once they marry, Jude is not surprised to find that Sue is not happy with her (Sue) situation"
P,8,She (Sue) can no longer tolerate the relationship and leaves her (Sue) husband to live with Jude
P,9,"Both Jude and Sue get divorced, but Sue does not want to remarry"
P,11,Sue and Jude serve as parents to the little boy and have two children of their own
P,13,"They have trouble finding lodging because they are not married, and Jude stays in an inn separate from Sue and the children"
P,14,"At night Sue takes Jude's son out to look for a room, and the little boy decides that they would be better off without so many children"
P,15,"In the morning, Sue goes to Jude's room and eats breakfast with him (Jude)"
N,17,"Feeling she (Sue) has been punished by God for her (Sue) relationship with Jude, Sue goes back to live with Phillotson, and Jude is tricked into living with Arabella again"
