Relationship,Sentence_Id,Sentence
P,7,"There Marcus meets Jack's wife, Alice, and the three of them take turns firing machine guns in the barn turned booze storage space"
P,9,"Jack and Alice get in a fight over their canaries when Alice discovers that Jack calls one of them "", ""``Marion''  (Jack)', 'after a girl he (Jack) has been seeing on the side"
P,14,"Later, Marcus overhears a conversation between Jack and Kiki in which Kiki sounds annoyed at being cooped up and frustrated that Jack will not dump Alice and marry her (Alice) instead"
P,42,"While he (Jack) recovers, Jack keeps Kiki out of sight, and Alice takes care of him (Jack)"
N,43,She (Alice) puts a crucifix over his (Jack) bed and turns away the press when they ask her (Alice) about Kiki
P,45,"Alice has a ', ""``Mormon''  (Alice)', 'dream, about Jack bringing home another wife"
P,46,Marcus brings a Broadway producer named Lew Edwards to see Jack and Alice at their home
N,50,"Alice finds out that Jack has been staying in touch with Kiki, and she (Alice) leaves him (Jack)"
N,54,"She (Alice) strokes his (Jack) chin, and he (Jack) wakes suddenly, holding a gun to her (Alice) face and bending her (Alice) fingers backward"
N,65,Jack moves into a suite at the Kenmore with both Alice and Kiki
N,68,"Marcus goes out to dinner with them, and all night Alice and Kiki wonder who Jack will ask to dance first"
N,69,"Finally, Jack asks Kiki to take his (Jack) left -LRB-now paralyzed-RRB- arm, and Alice to take his (Jack) right arm, and they all dance together"
N,82,Kiki and Alice both use their notoriety as Jack's women to create traveling stage shows
