Relationship,Sentence_Id,Sentence
N,14,"Later, Marcus overhears a conversation between Jack and Kiki in which Kiki sounds annoyed at being cooped up and frustrated that Jack will not dump Alice and marry her (Alice) instead"
N,42,"While he (Jack) recovers, Jack keeps Kiki out of sight, and Alice takes care of him (Jack)"
N,43,She (Alice) puts a crucifix over his (Jack) bed and turns away the press when they ask her (Alice) about Kiki
N,50,"Alice finds out that Jack has been staying in touch with Kiki, and she (Alice) leaves him (Jack)"
N,65,Jack moves into a suite at the Kenmore with both Alice and Kiki
P,66,Alice and Kiki live in harmony and enjoy going shopping together
N,68,"Marcus goes out to dinner with them, and all night Alice and Kiki wonder who Jack will ask to dance first"
N,69,"Finally, Jack asks Kiki to take his (Jack) left -LRB-now paralyzed-RRB- arm, and Alice to take his (Jack) right arm, and they all dance together"
N,78,Kiki is not there out of respect for Alice's feelings
N,82,Kiki and Alice both use their notoriety as Jack's women to create traveling stage shows
N,83,"Kiki's show lasts longer, and Alice ends up hanging around Coney Island"
N,85,"The last time Marcus sees Kiki, she (Alice) is performing in a strip tease show"
