Relationship,Sentence_Id,Sentence
P,16,"He (Humbert) becomes instantly infatuated with her (Haze) twelve-year-old daughter Dolores, also known as Lolita"
P,17,"Humbert follows Lolita's moves constantly, occasionally flirts with her (Lolita), and confides his (Humbert) pedophiliac longings to a journal"
P,19,"When Charlotte sends Lolita off to summer camp, Humbert marries Charlotte in order to stay near his (Humbert) true love"
P,20,"Humbert wants to be alone with Lolita and even toys with the idea of killing Charlotte, but he (Humbert) can't go through with it"
P,24,Humbert goes to the summer camp and picks up Lolita
P,25,Only when they arrive at a motel does he (Humbert) tell her (Lolita) that Charlotte has died
P,26,"In his (Humbert) account of events, Humbert claims that Lolita seduces him (Humbert), rather than the other way around"
P,27,"The two drive across the country for nearly a year, during which time Humbert becomes increasingly obsessed with Lolita and she (Lolita) learns to manipulate him (Humbert)"
N,28,"When she (Lolita) engages in tantrums or refuses his (Humbert) advances, Humbert threatens to put her (Lolita) in an orphanage"
N,29,"At the same time, a strange man seems to take an interest in Humbert and Lolita and appears to be following them in their travels"
P,30,"Humbert eventually gets a job at Beardsley College somewhere in the Northeast, and Lolita enrolls in school"
N,31,"Her (Lolita) wish to socialize with boys her (Lolita) own age causes a strain in their relationship, and Humbert becomes more restrictive in his (Humbert) rules"
P,32,"Nonetheless, he (Humbert) allows her (Lolita) to appear in a school play"
N,33,"Lolita begins to behave secretively around Humbert, and he (Humbert) accuses her (Lolita) of being unfaithful and takes her (Lolita) away on another road trip"
N,35,"Lolita doesn't notice anything, and Humbert accuses her (Lolita) of conspiring with their stalker"
P,36,"Lolita becomes ill, and Humbert must take her (Lolita) to the hospital"
P,37,"However, when Humbert returns to get her (Lolita), the nurses tell him (Humbert) that her (Lolita) uncle has already picked her (Lolita) up"
P,39,"For the next two years, Humbert searches for Lolita, unearthing clues about her (Lolita) kidnapper in order to exact his (Humbert) revenge"
N,40,"He (Humbert) halfheartedly takes up with a woman named Rita, but then he (Humbert) receives a note from Lolita, now married and pregnant, asking for money"
P,41,"Assuming that Lolita has married the man who had followed them on their travels, Humbert becomes determined to kill him (Humbert)"
P,42,"He (Humbert) finds Lolita, poor and pregnant at seventeen"
P,43,Humbert realizes that Lolita's husband is not the man who kidnapped her (Lolita) from the hospital
P,45,"Lolita loved Quilty, but he (Humbert) kicked her (Lolita) out when she (Lolita) refused to participate in a child pornography orgy"
P,46,"Still devoted to Lolita, Humbert begs her (Lolita) to return to him (Humbert)"
P,48,"Humbert gives her (Lolita) 4,000 dollars and then departs"
P,50,"Humbert is arrested and put in jail, where he (Humbert) continues to write his (Humbert) memoir, stipulating that it can only be published upon Lolita's death"
P,51,"After Lolita dies in childbirth, Humbert dies of heart failure, and the manuscript is sent to John Ray, Jr"
