Relationship,Sentence_Id,Sentence
N,16,"Eventually, Taylor and Turtle make it to Tucson, Arizona"
N,20,Taylor moves into a Tucson hotel with Turtle and finds a job working at the Burger Derby
N,33,"A month or so later, Taylor takes Turtle to see a doctor and finds that Turtle's growth has been stunted because she (Esperanza) was abused"
N,51,"Turtle does not seem hurt, but she (Edna) has stopped speaking and has the same vacuous look in her (Edna) eyes that she (Edna) had when Taylor first saw her (Edna)"
N,52,Turtle's trauma and the difficulties of Estevan and Esperanza make Taylor depressed
N,53,"To make matters worse, the police investigation into the attack on Turtle reveals that Taylor has no legal claim on Turtle"
N,60,"Once in Oklahoma, Taylor returns to the bar where she (Esperanza) received Turtle but finds that it has changed owners"
N,63,"During that time, Taylor concocts a plan to convince the authorities in Oklahoma that Estevan and Esperanza are Turtle's biological parents"
N,66,"Esperanza sobs real tears at the prospect of giving up Turtle, and Taylor realizes that Esperanza is grieving the loss of her (Esperanza) own daughter, who looked so much like Turtle"
N,67,"Taylor and Turtle drop off Esperanza and Estevan at their new home, a church in Oklahoma"
N,70,"Taylor and Turtle head back to Tucson, a place that both of them now call home"
